"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"data_resource_uid","data_resource_uid","","data_resource_uid","Dataset","data_resource_uid","Data Resource ID","The Atlas ID for the data resource"
"dcterms:language","language","dcterms:language","language","","language","","Language of the record"
"dcterms:license","license","dcterms:license","license","License","license","Licence","The license applying to a record."
"dcterms:rightsHolder","rightsholder","dcterms:rightsHolder","rightsholder","","rightsholder","",""
"access_rights","access_rights","dcterms:accessRights","access_rights","","access_rights","",""
"dcterms:bibliographicCitation","bibliographic_citation","dcterms:bibliographicCitation","bibliographic_citation","","bibliographic_citation","","Bibliographic citation for this record"
"institutionID","institution_id","institutionID","institution_id","Institution ID","institution_id","","http://rs.tdwg.org/dwc/terms/institutionID"
"collectionID","collection_id","collectionID","collection_id","Collection ID","collection_id","","http://rs.tdwg.org/dwc/terms/collectionID"
"datasetID","dataset_id","datasetID","dataset_id","Dataset ID","dataset_id","","http://rs.tdwg.org/dwc/terms/datasetID"
"institutionCode","institution_code","institutionCode","institution_code","Institution Code","institution_code","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"collectionCode","collection_code","collectionCode","collection_code","Collection Code","collection_code","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"datasetName","dataset_name","datasetName","dataset_name","Dataset / Survey name","dataset_name","","The name of the dataset for this record. Typically used to share the name of the survey when data has been supplied with multiple surveys in a single data resource. http://rs.tdwg.org/dwc/terms/datasetName"
"ownerInstitutionCode","owner_institution_code","ownerInstitutionCode","owner_institution_code","Owner Institution Code","owner_institution_code","","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode"
"basisOfRecord","basis_of_record","basisOfRecord","basis_of_record","Record type","basis_of_record","Basis Of Record","What this is a record of e.g. specimen, human observation, fossil http://rs.tdwg.org/dwc/terms/basisOfRecord"
"dynamicProperties","dynamic_properties","dynamicProperties","dynamic_properties","Dynamic Properties","dynamic_properties","","http://rs.tdwg.org/dwc/terms/dynamicProperties"
"occurrenceID","occurrence_id","occurrenceID","occurrence_id","Occurrence ID","occurrence_id","","http://rs.tdwg.org/dwc/terms/occurrenceID"
"catalogNumber","catalogue_number","catalogNumber","catalogue_number","Catalogue Number","catalogue_number","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"recordNumber","record_number","recordNumber","record_number","Record number","record_number","Record number","http://rs.tdwg.org/dwc/terms/recordNumber"
"recordedBy","collector","recordedBy","collector","Collector","collector","Collector","http://rs.tdwg.org/dwc/terms/recordedBy"
"individualCount","individual_count","individualCount","individual_count","Individual count","individual_count","Individual count","http://rs.tdwg.org/dwc/terms/individualCount"
"organism_quantity","organism_quantity","organismQuantity","organism_quantity","Organism Quantity","organism_quantity","","http://rs.tdwg.org/dwc/terms/organismQuantity"
"organism_quantity_type","organism_quantity_type","organismQuantityType","organism_quantity_type","Organism Quantity Type","organism_quantity_type","","http://rs.tdwg.org/dwc/terms/organismQuantityType"
"sex","raw_sex","sex","raw_sex","Sex (unprocessed)","raw_sex","Sex","http://rs.tdwg.org/dwc/terms/sex"
"reproductiveCondition","reproductive_condition","reproductiveCondition","reproductive_condition","Reproductive Condition","reproductive_condition","","http://rs.tdwg.org/dwc/terms/reproductiveCondition"
"behavior","behavior","behavior","behavior","Behavior","behavior","","http://rs.tdwg.org/dwc/terms/behavior"
"establishmentMeans","establishment_means","establishmentMeans","establishment_means","Establishment means","establishment_means","","http://rs.tdwg.org/dwc/terms/establishmentMeans"
"occurrenceStatus","occurrence_status","occurrenceStatus","occurrence_status","Presence/Absence","occurrence_status","Occurrence status","A statement about the presence or absence of a taxon at a Location http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"preparations","preparations","preparations","preparations","Preparations","preparations","Preparations","http://rs.tdwg.org/dwc/terms/preparations"
"disposition","disposition","disposition","disposition","Disposition","disposition","","http://rs.tdwg.org/dwc/terms/disposition"
"associatedMedia","associated_media","associatedMedia","associated_media","Associated Media","associated_media","","http://rs.tdwg.org/dwc/terms/associatedMedia"
"associatedSequences","associated_sequences","associatedSequences","associated_sequences","Associated Sequences","associated_sequences","","http://rs.tdwg.org/dwc/terms/associatedSequences"
"associatedTaxa","associated_taxa","associatedTaxa","associated_taxa","Associated Taxa","associated_taxa","","http://rs.tdwg.org/dwc/terms/associatedTaxa"
"otherCatalogNumbers","other_catalog_numbers","otherCatalogNumbers","other_catalog_numbers","Other Catalog Numbers","other_catalog_numbers","","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers"
"occurrenceRemarks","occurrence_remarks","occurrenceRemarks","occurrence_remarks","Occurrence Remarks","occurrence_remarks","","http://rs.tdwg.org/dwc/terms/occurrenceRemarks"
"previousIdentifications","previous_identifications","previousIdentifications","previous_identifications","Previous Identifications","previous_identifications","","http://rs.tdwg.org/dwc/terms/previousIdentifications"
"eventID","event_id","eventID","event_id","Event ID","event_id","","http://rs.tdwg.org/dwc/terms/eventID"
"fieldNumber","field_number","fieldNumber","field_number","Field Number","field_number","","http://rs.tdwg.org/dwc/terms/fieldNumber"
"eventDate","occurrence_date","eventDate","occurrence_date","Date (by decade)","occurrence_date","Event Date - parsed","http://rs.tdwg.org/dwc/terms/eventDate"
"eventTime","event_time","eventTime","event_time","Event Time","event_time","Event Time","http://rs.tdwg.org/dwc/terms/eventTime"
"startDayOfYear","start_day_of_year","startDayOfYear","start_day_of_year","Start Day Of Year","start_day_of_year","","http://rs.tdwg.org/dwc/terms/startDayOfYear"
"endDayOfYear","end_day_of_year","endDayOfYear","end_day_of_year","End Day Of Year","end_day_of_year","","http://rs.tdwg.org/dwc/terms/endDayOfYear"
"year","year","year","year","Year","year","Year","The year in which an occurrence was observed. http://rs.tdwg.org/dwc/terms/year"
"month","month","month","month","Month","month","Month","Month of observation, specimen collection date. http://rs.tdwg.org/dwc/terms/month"
"day","day","day","day","Day","day","Day","http://rs.tdwg.org/dwc/terms/day"
"verbatimEventDate","verbatim_event_date","verbatimEventDate","verbatim_event_date","Verbatim event date","verbatim_event_date","Verbatim event date","http://rs.tdwg.org/dwc/terms/verbatimEventDate"
"habitat","habitat","habitat","habitat","Habitat","habitat","","http://rs.tdwg.org/dwc/terms/habitat"
"samplingEffort","sampling_effort","samplingEffort","sampling_effort","Sampling Effort","sampling_effort","","http://rs.tdwg.org/dwc/terms/samplingEffort"
"fieldNotes","field_notes","fieldNotes","field_notes","Field Notes","field_notes","","http://rs.tdwg.org/dwc/terms/fieldNotes"
"eventRemarks","event_remarks","eventRemarks","event_remarks","Event Remarks","event_remarks","","http://rs.tdwg.org/dwc/terms/eventRemarks"
"locationID","location_id","locationID","location_id","Location ID","location_id","","http://rs.tdwg.org/dwc/terms/locationID"
"higherGeographyID","higher_geography_id","higherGeographyID","higher_geography_id","Higher Geography ID","higher_geography_id","","http://rs.tdwg.org/dwc/terms/higherGeographyID"
"higherGeography","higher_geography","higherGeography","higher_geography","Higher Geography","higher_geography","","http://rs.tdwg.org/dwc/terms/higherGeography"
"waterBody","water_body","waterBody","water_body","Water Body","water_body","","http://rs.tdwg.org/dwc/terms/waterBody"
"islandGroup","island_group","islandGroup","island_group","Island Group","island_group","","http://rs.tdwg.org/dwc/terms/islandGroup"
"island","island","island","island","Island","island","","http://rs.tdwg.org/dwc/terms/island"
"country","country","country","country","Country","country","Country - parsed","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"countryCode","country_code","countryCode","country_code","Country Code","country_code","","http://rs.tdwg.org/dwc/terms/countryCode"
"stateProvince","state","stateProvince","state","State/Territory","state","State - parsed","http://rs.tdwg.org/dwc/terms/stateProvince"
"county","county","county","county","County","county","","http://rs.tdwg.org/dwc/terms/county"
"municipality","municipality","municipality","municipality","Municipality","municipality","","http://rs.tdwg.org/dwc/terms/municipality"
"locality","raw_locality","locality","raw_locality","Locality","raw_locality","Locality","http://rs.tdwg.org/dwc/terms/locality"
"verbatimLocality","verbatim_locality","verbatimLocality","verbatim_locality","Verbatim Locality","verbatim_locality","","http://rs.tdwg.org/dwc/terms/verbatimLocality"
"minimumElevationInMeters","min_elevation_d","minimumElevationInMeters","min_elevation_d","Minimum elevation in meters","min_elevation_d","Minimum elevation in meters","http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"maximumElevationInMeters","max_elevation_d","maximumElevationInMeters","max_elevation_d","Maximum elevation in meters","max_elevation_d","Maximum elevation in meters","http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"verbatimElevation","elevation","verbatimElevation","elevation","Verbatim Elevation","elevation","","http://rs.tdwg.org/dwc/terms/verbatimElevation"
"minimumDepthInMeters","min_depth_d","minimumDepthInMeters","min_depth_d","Minimum depth in meters","min_depth_d","Minimum depth in meters","http://rs.tdwg.org/dwc/terms/minimumDepthInMeters"
"maximumDepthInMeters","max_depth_d","maximumDepthInMeters","max_depth_d","Maximum depth in meters","max_depth_d","Maximum depth in meters","http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"minimum_distance_above_surface_in_meters","minimum_distance_above_surface_in_meters","minimumDistanceAboveSurfaceInMeters","minimum_distance_above_surface_in_meters","Minimum Distance Above Surface In Meters","minimum_distance_above_surface_in_meters","","http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters"
"maximum_distance_above_surface_in_meters","maximum_distance_above_surface_in_meters","maximumDistanceAboveSurfaceInMeters","maximum_distance_above_surface_in_meters","Maximum Distance Above Surface In Meters","maximum_distance_above_surface_in_meters","","http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters"
"locationAccordingTo","location_according_to","locationAccordingTo","location_according_to","Location According To","location_according_to","","http://rs.tdwg.org/dwc/terms/locationAccordingTo"
"locationRemarks","location_remarks","locationRemarks","location_remarks","Location Remarks","location_remarks","","http://rs.tdwg.org/dwc/terms/locationRemarks"
"decimalLatitude","latitude","decimalLatitude","latitude","Latitude","latitude","Latitude","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","longitude","decimalLongitude","longitude","Longitude","longitude","Longitude","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"geodeticDatum","datum","geodeticDatum","datum","Geodetic datum","datum","Geodetic datum","http://rs.tdwg.org/dwc/terms/geodeticDatum"
"coordinateUncertaintyInMeters","coordinate_uncertainty","coordinateUncertaintyInMeters","coordinate_uncertainty","Coordinate uncertainty (in metres)","coordinate_uncertainty","Coordinate Uncertainty in Metres","A radius in metres defining the smallest circle the location could occur within http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"pointRadiusSpatialFit","point_radius_spatial_fit","pointRadiusSpatialFit","point_radius_spatial_fit","Point Radius Spatial Fit","point_radius_spatial_fit","","http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit"
"verbatimCoordinates","verbatim_coordinates","verbatimCoordinates","verbatim_coordinates","Verbatim Coordinates","verbatim_coordinates","","http://rs.tdwg.org/dwc/terms/verbatimCoordinates"
"verbatimLatitude","raw_latitude","verbatimLatitude","raw_latitude","Latitude - original","raw_latitude","Latitude - original","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLatitude","verbatim_latitude","verbatimLatitude","verbatim_latitude","Verbatim Latitude","verbatim_latitude","","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLongitude","raw_longitude","verbatimLongitude","raw_longitude","Longitude - original","raw_longitude","Longitude - original","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimLongitude","verbatim_longitude","verbatimLongitude","verbatim_longitude","Verbatim Longitude","verbatim_longitude","","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimCoordinateSystem","raw_datum","verbatimCoordinateSystem","raw_datum","Datum","raw_datum","Geodetic datum - original","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimCoordinateSystem","verbatim_coordinate_system","verbatimCoordinateSystem","verbatim_coordinate_system","Verbatim Coordinate System","verbatim_coordinate_system","","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimSRS","verbatim_srs","verbatimSRS","verbatim_srs","Verbatim SRS","verbatim_srs","","http://rs.tdwg.org/dwc/terms/verbatimSRS"
"footprintWKT","footprint_wkt","footprintWKT","footprint_wkt","Footprint WKT","footprint_wkt","","http://rs.tdwg.org/dwc/terms/footprintWKT"
"georeferencedBy","georeferenced_by","georeferencedBy","georeferenced_by","Georeferenced By","georeferenced_by","","http://rs.tdwg.org/dwc/terms/georeferencedBy"
"georeferencedDate","georeferenced_date","georeferencedDate","georeferenced_date","Georeferenced Date","georeferenced_date","","http://rs.tdwg.org/dwc/terms/georeferencedDate"
"georeferenceProtocol","georeference_protocol","georeferenceProtocol","georeference_protocol","Georeference Protocol","georeference_protocol","","http://rs.tdwg.org/dwc/terms/georeferenceProtocol"
"georeferenceSources","georeference_sources","georeferenceSources","georeference_sources","Georeference Sources","georeference_sources","","http://rs.tdwg.org/dwc/terms/georeferenceSources"
"georeference_verification_status","georeference_verification_status","georeferenceVerificationStatus","georeference_verification_status","Georeference Verification Status","georeference_verification_status","","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus"
"georeferenceRemarks","georeference_remarks","georeferenceRemarks","georeference_remarks","Georeference Remarks","georeference_remarks","","http://rs.tdwg.org/dwc/terms/georeferenceRemarks"
"identificationID","identification_id","identificationID","identification_id","Identification ID","identification_id","","http://rs.tdwg.org/dwc/terms/identificationID"
"identificationQualifier","identification_qualifier","identificationQualifier","identification_qualifier","Identification Qualifier","identification_qualifier","","http://rs.tdwg.org/dwc/terms/identificationQualifier"
"typeStatus","type_status","typeStatus","type_status","Specimen type","type_status","","http://rs.tdwg.org/dwc/terms/typeStatus"
"identifiedBy","identified_by","identifiedBy","identified_by","Identified by","identified_by","","http://rs.tdwg.org/dwc/terms/identifiedBy"
"dateIdentified","identified_date","dateIdentified","identified_date","Date Identified","identified_date","","http://rs.tdwg.org/dwc/terms/dateIdentified"
"identificationVerificationStatus","identification_verification_status","identificationVerificationStatus","identification_verification_status","Identification Verification Status","identification_verification_status","","http://rs.tdwg.org/dwc/terms/identificationVerificationStatus"
"identificationRemarks","identification_remarks","identificationRemarks","identification_remarks","Identification Remarks","identification_remarks","","http://rs.tdwg.org/dwc/terms/identificationRemarks"
"taxonID","taxon_id","taxonID","taxon_id","Taxon ID","taxon_id","","http://rs.tdwg.org/dwc/terms/taxonID"
"scientificNameID","scientific_name_id","scientificNameID","scientific_name_id","Scientific Name ID","scientific_name_id","","http://rs.tdwg.org/dwc/terms/scientificNameID"
"taxonConceptID","taxon_concept_lsid","taxonConceptID","taxon_concept_lsid","Taxon Concept GUID","taxon_concept_lsid","Taxon Concept GUID","http://rs.tdwg.org/dwc/terms/taxonConceptID"
"scientificName","raw_taxon_name","scientificName","raw_taxon_name","Scientific name (unprocessed)","raw_taxon_name","Scientific Name - original","http://rs.tdwg.org/dwc/terms/scientificName"
"scientificName","taxon_name","scientificName","taxon_name","Scientific name","taxon_name","Scientific Name","http://rs.tdwg.org/dwc/terms/scientificName"
"acceptedNameUsage","accepted_name_usage","acceptedNameUsage","accepted_name_usage","Accepted Name Usage","accepted_name_usage","","http://rs.tdwg.org/dwc/terms/acceptedNameUsage"
"parentNameUsage","parent_name_usage","parentNameUsage","parent_name_usage","Parent Name Usage","parent_name_usage","","http://rs.tdwg.org/dwc/terms/parentNameUsage"
"originalNameUsage","original_name_usage","originalNameUsage","original_name_usage","Original name usage","original_name_usage","","http://rs.tdwg.org/dwc/terms/originalNameUsage"
"namePublishedIn","name_published_in","namePublishedIn","name_published_in","Name Published In","name_published_in","","http://rs.tdwg.org/dwc/terms/namePublishedIn"
"name_published_in_year","name_published_in_year","namePublishedInYear","name_published_in_year","Name Published In Year","name_published_in_year","","http://rs.tdwg.org/dwc/terms/namePublishedInYear"
"higherClassification","higher_classification","higherClassification","higher_classification","Higher Classification","higher_classification","","http://rs.tdwg.org/dwc/terms/higherClassification"
"kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"order","order","order","order","Order","order","Order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"family","family","family","family","Family","family","Family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"genus","genus","genus","genus","Genus","genus","Genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"subgenus","subgenus","subgenus","subgenus","Subgenus","subgenus","","http://rs.tdwg.org/dwc/terms/subgenus"
"specificEpithet","specific_epithet","specificEpithet","specific_epithet","Specific Epithet","specific_epithet","","http://rs.tdwg.org/dwc/terms/specificEpithet"
"infraspecificEpithet","infraspecific_epithet","infraspecificEpithet","infraspecific_epithet","Infraspecific Epithet","infraspecific_epithet","","http://rs.tdwg.org/dwc/terms/infraspecificEpithet"
"taxonRank","rank","taxonRank","rank","Identified to rank","rank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"verbatimTaxonRank","verbatim_taxon_rank","verbatimTaxonRank","verbatim_taxon_rank","Verbatim Taxon Rank","verbatim_taxon_rank","","http://rs.tdwg.org/dwc/terms/verbatimTaxonRank"
"scientificNameAuthorship","scientific_name_authorship","scientificNameAuthorship","scientific_name_authorship","Scientific Name Authorship","scientific_name_authorship","","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship"
"vernacularName","common_name","vernacularName","common_name","Common name (processed)","common_name","Vernacular name","http://rs.tdwg.org/dwc/terms/vernacularName"
"taxonomicStatus","taxonomic_status","taxonomicStatus","taxonomic_status","Taxonomic Status","taxonomic_status","","http://rs.tdwg.org/dwc/terms/taxonomicStatus"
"nomenclaturalStatus","nomenclatural_status","nomenclaturalStatus","nomenclatural_status","Nomenclatural Status","nomenclatural_status","","http://rs.tdwg.org/dwc/terms/nomenclaturalStatus"
"taxonRemarks","taxon_remarks","taxonRemarks","taxon_remarks","Taxon Remarks","taxon_remarks","","http://rs.tdwg.org/dwc/terms/taxonRemarks"
"species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"verbatimIdentificationQualifier","raw_identification_qualifier","verbatimIdentificationQualifier","raw_identification_qualifier","","raw_identification_qualifier","","http://rs.tdwg.org/dwc/terms/verbatimIdentificationQualifier"
"provenance","provenance","dcterms:provenance","provenance","Provenance","provenance","","Provenance of this dataset. e.g. Published dataset, Draft, Individual sightings"
"recordID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"dcterms:accessRights","rights","dcterms:rights","rights","","rights","",""
"verbatimContinent","raw_continent","verbatimContinent","raw_continent","","raw_continent","","http://rs.tdwg.org/dwc/terms/verbatimContinent"
"verbatimBasisOfRecord","raw_basis_of_record","verbatimBasisOfRecord","raw_basis_of_record","Basis Of Record - original","raw_basis_of_record","Basis Of Record - original","The basis of record as supplied by the data publisher http://rs.tdwg.org/dwc/terms/verbatimBasisOfRecord"
